Algorithm,InputType,InputSize,Time_ns,MaxRecursionDepth,MemoryUsed_bytes
MergeSort,Random,1000,441917,9,0
QuickSort,Random,1000,696208,6,111576
DeterministicSelect,Random,1000,672375,9,67008
MergeSort,Sorted,1000,47542,9,71000
QuickSort,Sorted,1000,70500,6,33488
DeterministicSelect,Sorted,1000,109167,9,67008
MergeSort,Reverse-sorted,1000,319875,9,70968
QuickSort,Reverse-sorted,1000,60959,6,0
DeterministicSelect,Reverse-sorted,1000,113458,9,33488
MergeSort,Duplicate-heavy,1000,101209,9,70976
QuickSort,Duplicate-heavy,1000,80291,3,33488
DeterministicSelect,Duplicate-heavy,1000,236333,9,33592
ClosestPair,RandomPoints,1000,7783500,9,361112
MergeSort,Random,5000,409417,12,53480
QuickSort,Random,5000,243667,8,0
DeterministicSelect,Random,5000,849666,12,0
MergeSort,Sorted,5000,25083,12,53480
QuickSort,Sorted,5000,119167,7,0
DeterministicSelect,Sorted,5000,119083,12,0
MergeSort,Reverse-sorted,5000,712791,12,53480
QuickSort,Reverse-sorted,5000,137292,8,0
DeterministicSelect,Reverse-sorted,5000,144208,12,0
MergeSort,Duplicate-heavy,5000,509000,12,53480
QuickSort,Duplicate-heavy,5000,1356959,2,0
DeterministicSelect,Duplicate-heavy,5000,5127750,12,0
ClosestPair,RandomPoints,5000,5107166,12,663496
MergeSort,Random,20000,1961750,14,113480
QuickSort,Random,20000,1043000,9,0
DeterministicSelect,Random,20000,719792,14,0
MergeSort,Sorted,20000,38667,14,113480
QuickSort,Sorted,20000,672125,9,0
DeterministicSelect,Sorted,20000,452292,14,0
MergeSort,Reverse-sorted,20000,1242708,14,113480
QuickSort,Reverse-sorted,20000,514750,9,0
DeterministicSelect,Reverse-sorted,20000,293875,14,0
MergeSort,Duplicate-heavy,20000,610875,14,113480
QuickSort,Duplicate-heavy,20000,19991208,3,0
DeterministicSelect,Duplicate-heavy,20000,328333166,14,0
ClosestPair,RandomPoints,20000,12859083,14,1233968
